DateKey,FullDate,Day,Month,Year,DayName,MonthName,Quarter,Half,YearMonth,IsWeekend
132,2023-05-12,12,5,2023,Friday,May,Q2,H1,05/2023,0
133,2023-05-13,13,5,2023,Saturday,May,Q2,H1,05/2023,1
134,2023-05-14,14,5,2023,Sunday,May,Q2,H1,05/2023,1
135,2023-05-15,15,5,2023,Monday,May,Q2,H1,05/2023,0
136,2023-05-16,16,5,2023,Tuesday,May,Q2,H1,05/2023,0
137,2023-05-17,17,5,2023,Wednesday,May,Q2,H1,05/2023,0
138,2023-05-18,18,5,2023,Thursday,May,Q2,H1,05/2023,0
139,2023-05-19,19,5,2023,Friday,May,Q2,H1,05/2023,0
140,2023-05-20,20,5,2023,Saturday,May,Q2,H1,05/2023,1
141,2023-05-21,21,5,2023,Sunday,May,Q2,H1,05/2023,1
142,2023-05-22,22,5,2023,Monday,May,Q2,H1,05/2023,0
143,2023-05-23,23,5,2023,Tuesday,May,Q2,H1,05/2023,0
144,2023-05-24,24,5,2023,Wednesday,May,Q2,H1,05/2023,0
145,2023-05-25,25,5,2023,Thursday,May,Q2,H1,05/2023,0
146,2023-05-26,26,5,2023,Friday,May,Q2,H1,05/2023,0
147,2023-05-27,27,5,2023,Saturday,May,Q2,H1,05/2023,1
148,2023-05-28,28,5,2023,Sunday,May,Q2,H1,05/2023,1
149,2023-05-29,29,5,2023,Monday,May,Q2,H1,05/2023,0
150,2023-05-30,30,5,2023,Tuesday,May,Q2,H1,05/2023,0
151,2023-05-31,31,5,2023,Wednesday,May,Q2,H1,05/2023,0
152,2023-06-01,1,6,2023,Thursday,Jun,Q2,H1,06/2023,0
153,2023-06-02,2,6,2023,Friday,Jun,Q2,H1,06/2023,0
154,2023-06-03,3,6,2023,Saturday,Jun,Q2,H1,06/2023,1
155,2023-06-04,4,6,2023,Sunday,Jun,Q2,H1,06/2023,1
156,2023-06-05,5,6,2023,Monday,Jun,Q2,H1,06/2023,0
157,2023-06-06,6,6,2023,Tuesday,Jun,Q2,H1,06/2023,0
158,2023-06-07,7,6,2023,Wednesday,Jun,Q2,H1,06/2023,0
159,2023-06-08,8,6,2023,Thursday,Jun,Q2,H1,06/2023,0
160,2023-06-09,9,6,2023,Friday,Jun,Q2,H1,06/2023,0
161,2023-06-10,10,6,2023,Saturday,Jun,Q2,H1,06/2023,1
162,2023-06-11,11,6,2023,Sunday,Jun,Q2,H1,06/2023,1
163,2023-06-12,12,6,2023,Monday,Jun,Q2,H1,06/2023,0
164,2023-06-13,13,6,2023,Tuesday,Jun,Q2,H1,06/2023,0
165,2023-06-14,14,6,2023,Wednesday,Jun,Q2,H1,06/2023,0
166,2023-06-15,15,6,2023,Thursday,Jun,Q2,H1,06/2023,0
167,2023-06-16,16,6,2023,Friday,Jun,Q2,H1,06/2023,0
168,2023-06-17,17,6,2023,Saturday,Jun,Q2,H1,06/2023,1
169,2023-06-18,18,6,2023,Sunday,Jun,Q2,H1,06/2023,1
170,2023-06-19,19,6,2023,Monday,Jun,Q2,H1,06/2023,0
171,2023-06-20,20,6,2023,Tuesday,Jun,Q2,H1,06/2023,0
172,2023-06-21,21,6,2023,Wednesday,Jun,Q2,H1,06/2023,0
173,2023-06-22,22,6,2023,Thursday,Jun,Q2,H1,06/2023,0
174,2023-06-23,23,6,2023,Friday,Jun,Q2,H1,06/2023,0
175,2023-06-24,24,6,2023,Saturday,Jun,Q2,H1,06/2023,1
176,2023-06-25,25,6,2023,Sunday,Jun,Q2,H1,06/2023,1
177,2023-06-26,26,6,2023,Monday,Jun,Q2,H1,06/2023,0
178,2023-06-27,27,6,2023,Tuesday,Jun,Q2,H1,06/2023,0
179,2023-06-28,28,6,2023,Wednesday,Jun,Q2,H1,06/2023,0
180,2023-06-29,29,6,2023,Thursday,Jun,Q2,H1,06/2023,0
181,2023-06-30,30,6,2023,Friday,Jun,Q2,H1,06/2023,0
182,2023-07-01,1,7,2023,Saturday,Jul,Q3,H2,07/2023,1
183,2023-07-02,2,7,2023,Sunday,Jul,Q3,H2,07/2023,1
184,2023-07-03,3,7,2023,Monday,Jul,Q3,H2,07/2023,0
185,2023-07-04,4,7,2023,Tuesday,Jul,Q3,H2,07/2023,0
186,2023-07-05,5,7,2023,Wednesday,Jul,Q3,H2,07/2023,0
187,2023-07-06,6,7,2023,Thursday,Jul,Q3,H2,07/2023,0
188,2023-07-07,7,7,2023,Friday,Jul,Q3,H2,07/2023,0
189,2023-07-08,8,7,2023,Saturday,Jul,Q3,H2,07/2023,1
190,2023-07-09,9,7,2023,Sunday,Jul,Q3,H2,07/2023,1
191,2023-07-10,10,7,2023,Monday,Jul,Q3,H2,07/2023,0
192,2023-07-11,11,7,2023,Tuesday,Jul,Q3,H2,07/2023,0
193,2023-07-12,12,7,2023,Wednesday,Jul,Q3,H2,07/2023,0
194,2023-07-13,13,7,2023,Thursday,Jul,Q3,H2,07/2023,0
195,2023-07-14,14,7,2023,Friday,Jul,Q3,H2,07/2023,0
196,2023-07-15,15,7,2023,Saturday,Jul,Q3,H2,07/2023,1
197,2023-07-16,16,7,2023,Sunday,Jul,Q3,H2,07/2023,1
198,2023-07-17,17,7,2023,Monday,Jul,Q3,H2,07/2023,0
199,2023-07-18,18,7,2023,Tuesday,Jul,Q3,H2,07/2023,0
200,2023-07-19,19,7,2023,Wednesday,Jul,Q3,H2,07/2023,0
201,2023-07-20,20,7,2023,Thursday,Jul,Q3,H2,07/2023,0
202,2023-07-21,21,7,2023,Friday,Jul,Q3,H2,07/2023,0
203,2023-07-22,22,7,2023,Saturday,Jul,Q3,H2,07/2023,1
204,2023-07-23,23,7,2023,Sunday,Jul,Q3,H2,07/2023,1
205,2023-07-24,24,7,2023,Monday,Jul,Q3,H2,07/2023,0
206,2023-07-25,25,7,2023,Tuesday,Jul,Q3,H2,07/2023,0
207,2023-07-26,26,7,2023,Wednesday,Jul,Q3,H2,07/2023,0
208,2023-07-27,27,7,2023,Thursday,Jul,Q3,H2,07/2023,0
209,2023-07-28,28,7,2023,Friday,Jul,Q3,H2,07/2023,0
210,2023-07-29,29,7,2023,Saturday,Jul,Q3,H2,07/2023,1
211,2023-07-30,30,7,2023,Sunday,Jul,Q3,H2,07/2023,1
212,2023-07-31,31,7,2023,Monday,Jul,Q3,H2,07/2023,0
213,2023-08-01,1,8,2023,Tuesday,Aug,Q3,H2,08/2023,0
214,2023-08-02,2,8,2023,Wednesday,Aug,Q3,H2,08/2023,0
215,2023-08-03,3,8,2023,Thursday,Aug,Q3,H2,08/2023,0
216,2023-08-04,4,8,2023,Friday,Aug,Q3,H2,08/2023,0
217,2023-08-05,5,8,2023,Saturday,Aug,Q3,H2,08/2023,1
218,2023-08-06,6,8,2023,Sunday,Aug,Q3,H2,08/2023,1
219,2023-08-07,7,8,2023,Monday,Aug,Q3,H2,08/2023,0
220,2023-08-08,8,8,2023,Tuesday,Aug,Q3,H2,08/2023,0
221,2023-08-09,9,8,2023,Wednesday,Aug,Q3,H2,08/2023,0
222,2023-08-10,10,8,2023,Thursday,Aug,Q3,H2,08/2023,0
223,2023-08-11,11,8,2023,Friday,Aug,Q3,H2,08/2023,0
224,2023-08-12,12,8,2023,Saturday,Aug,Q3,H2,08/2023,1
225,2023-08-13,13,8,2023,Sunday,Aug,Q3,H2,08/2023,1
226,2023-08-14,14,8,2023,Monday,Aug,Q3,H2,08/2023,0
